label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.7,5.3,41.5,52.4,8.79,0.0,20.53,0,0.0,0.0,0.0,0.0,0.0,0.0,,227.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,211.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,209.6
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.9
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,178.2
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,187.4
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,169.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,167.5
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,210.5
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,159.6
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,124.0
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,130.7
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,139.2
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,194.0
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,170.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,204.8
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,189.9
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,189.0
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,195.4
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,190.2
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,141.9
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,111.1
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,117.3
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,120.1
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.9
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,115.7
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,125.0
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,123.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,138.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,125.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,141.2
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,153.1
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.9
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,146.6
