label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.2,5.7,41.6,52.4,8.31,0.0,19.39,0,0.0,0.0,0.0,0.0,0.0,0.0,,130.3
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.2,5.7,41.6,52.4,8.31,0.0,19.39,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.5
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.2,5.6,41.8,52.4,8.3,0.0,19.37,0,0.0,0.0,0.0,0.0,0.0,0.0,,131.3
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.2,5.7,41.6,52.4,8.37,0.0,19.51,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.0
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.2,5.7,41.6,52.4,8.37,0.0,19.51,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.7,41.5,52.4,8.47,0.0,19.7,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.6
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.7,41.5,52.4,8.49,0.0,19.74,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.6
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.7,41.5,52.4,8.49,0.0,19.74,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.2
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.2,5.6,41.8,52.4,8.27,0.0,19.35,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.9
SCORING_PARAMS.cross_decay_days=20_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.2,5.7,41.6,52.4,8.38,0.0,19.57,0,0.0,0.0,0.0,0.0,0.0,0.0,,131.7
